World Rank,Institution,Country,Total Score,Alumni,Award,HiCi,N&S,PUB,PCP
1,Harvard University, United States,100,100,97.1,100,100,100,85.7
2,Stanford University, United States,75.6,45.3,88.1,73.1,83.9,73.1,59.6
3,Massachusetts Institute of Technology (MIT), United States,69.5,71.9,82.8,55.2,70.8,59.1,73.6
4,University of Cambridge, United Kingdom,67.8,78.2,90.8,45.1,59.8,67.2,60.6
5,"University of California, Berkeley", United States,62,65.3,76.5,46.9,62.8,57.1,55.5
6,University of Oxford, United Kingdom,60,49.5,59.7,51.3,57.2,77.1,47.9
7,Princeton University, United States,58.8,61.2,100,26,51.3,42.3,75.3
8,California Institute of Technology, United States,55.1,55.7,63.4,29.8,57.9,41,100
8,Columbia University, United States,55.1,59.4,63.2,42.7,51.9,67,31.6
10,University of Chicago, United States,54.4,59,84.5,32.5,44.9,53,44.2
11,Yale University, United States,52.8,50.3,49.6,45.1,54.3,65.2,38.6
12,Cornell University, United States,50.8,42.2,44.2,41.7,55.8,63.9,45
12,Paris-Saclay University, France,50.8,36.9,73.8,33.8,33.9,65.7,47.1
14,University of Pennsylvania, United States,49.3,32,39.6,51.7,44.5,68.5,42.6
15,"University of California, Los Angeles", United States,48.4,29.8,45,44.6,51,67.2,29.1
16,University College London, United Kingdom,47.1,27,31.5,48.7,41.7,78.5,34.1
17,Johns Hopkins University, United States,46,34,34.6,45.6,38.7,74.6,29.3
18,"University of California, San Diego", United States,45.9,18,32.4,54.5,51.7,60.8,32.7
18,University of Washington, United States,45.9,22.6,33.2,43.7,52.3,71.4,25.9
20,"University of California, San Francisco", United States,45.4,0,41.9,49.6,55.6,60.1,31.1
21,ETH Zurich, Switzerland,44.5,26.5,42.2,30.5,53.3,54.6,48.8
22,Tsinghua University, China,43.3,9,0,57.5,47.1,86.2,34
23,Washington University in St. Louis, United States,40.1,20.8,27.4,47.8,39.1,53.2,36.7
24,Peking University, China,39.9,10.4,0,41.2,44,89.2,32.2
25,Imperial College London, United Kingdom,39.7,12.7,31.3,37.4,36.2,63.7,39.2
26,University of Toronto, Canada,39.6,16.4,13,39.1,36.6,82,30.3
27,Zhejiang University, China,39,0,0,41.2,37,99.5,27
28,The University of Tokyo, Japan,38.6,36.3,23.5,21.6,45.3,68.6,24
29,Rockefeller University, United States,38.2,15.6,57.6,26.8,41.7,16,74.4
30,University of Michigan-Ann Arbor, United States,38,37.1,9.8,33.2,39.1,74,23.3
31,New York University, United States,37.7,26.5,35.1,29.8,40.1,56.5,19.9
32,University of Copenhagen, Denmark,37,18.7,20.6,30.5,36.3,66.4,36.1
33,Northwestern University, United States,36.9,12.7,25.8,38.5,38.3,57.6,28.9
33,PSL University, France,36.9,50.3,45.1,9.2,23.7,52.6,50
35,University of North Carolina at Chapel Hill, United States,36.2,7.3,21.9,41.7,34.1,59.8,32.2
36,University of Wisconsin - Madison, United States,36,28,31.3,27.6,31.7,59.9,24
37,The University of Melbourne, Australia,35.4,14.7,11.3,42.2,24.6,72,32.2
38,Shanghai Jiao Tong University, China,34.8,0,0,32.5,28.3,95.7,27.4
39,Duke University, United States,34.6,19.4,17.8,33.2,37.7,60.1,22.1
